ID,Season,team,off_rank,prev_off_rank,prev_off_3yr_rank,def_rank,prev_def_rank,prev_def_3yr_rank
0,2010,ARI,31.0,14.0,9.0,29.0,20.0,20.0
1,2010,ATL,15.0,16.0,15.0,16.0,21.0,26.0
2,2010,BAL,22.0,13.0,16.0,10.0,3.0,2.0
3,2010,BUF,25.0,30.0,30.0,24.0,19.0,24.0
4,2010,CAR,32.0,19.0,20.0,18.0,8.0,14.0
5,2010,CHI,30.0,23.0,25.0,9.0,17.0,23.0
6,2010,CIN,20.0,24.0,24.0,15.0,4.0,15.0
7,2010,CLE,29.0,32.0,29.0,22.0,31.0,31.0
8,2010,DAL,7.0,2.0,3.0,23.0,9.0,7.0
9,2010,DEN,13.0,15.0,6.0,32.0,7.0,22.0
10,2010,DET,17.0,26.0,26.0,21.0,32.0,32.0
11,2010,GB,9.0,6.0,4.0,5.0,2.0,10.0
12,2010,HOU,3.0,4.0,5.0,30.0,13.0,19.0
13,2010,IND,4.0,9.0,8.0,20.0,18.0,9.0
14,2010,JAX,16.0,18.0,13.0,28.0,23.0,16.0
15,2010,KC,12.0,25.0,27.0,14.0,30.0,30.0
16,2010,LA,26.0,29.0,28.0,19.0,29.0,29.0
17,2010,LAC,1.0,10.0,12.0,1.0,16.0,17.0
18,2010,LV,10.0,31.0,32.0,11.0,26.0,28.0
19,2010,MIA,21.0,17.0,18.0,6.0,22.0,21.0
20,2010,MIN,23.0,5.0,11.0,8.0,6.0,11.0
21,2010,NE,8.0,3.0,2.0,25.0,11.0,6.0
22,2010,NO,6.0,1.0,1.0,4.0,25.0,25.0
23,2010,NYG,5.0,8.0,10.0,7.0,14.0,8.0
24,2010,NYJ,11.0,20.0,22.0,3.0,1.0,4.0
25,2010,PHI,2.0,11.0,7.0,12.0,12.0,3.0
26,2010,PIT,14.0,7.0,14.0,2.0,5.0,1.0
27,2010,SEA,28.0,21.0,23.0,27.0,24.0,27.0
28,2010,SF,24.0,27.0,31.0,13.0,15.0,18.0
29,2010,TB,19.0,28.0,21.0,17.0,27.0,12.0
30,2010,TEN,27.0,12.0,17.0,26.0,28.0,13.0
31,2010,WAS,18.0,22.0,19.0,31.0,10.0,5.0
32,2011,ARI,19.0,31.0,18.0,18.0,29.0,25.0
33,2011,ATL,10.0,15.0,11.0,12.0,16.0,22.0
34,2011,BAL,15.0,22.0,16.0,3.0,10.0,3.0
35,2011,BUF,14.0,25.0,30.0,26.0,24.0,21.0
36,2011,CAR,7.0,32.0,23.0,28.0,18.0,12.0
37,2011,CHI,24.0,30.0,26.0,17.0,9.0,13.0
38,2011,CIN,20.0,20.0,29.0,7.0,15.0,9.0
39,2011,CLE,29.0,29.0,32.0,10.0,22.0,29.0
40,2011,DAL,11.0,7.0,4.0,14.0,23.0,10.0
41,2011,DEN,23.0,13.0,9.0,20.0,32.0,27.0
42,2011,DET,5.0,17.0,25.0,23.0,21.0,32.0
